t,u_measured
2.949999999999999845e-01,1.251109240748520257e+00
2.999999999999999889e-01,1.295075940963502870e+00
3.049999999999999933e-01,1.030362008702937038e+00
3.099999999999999978e-01,1.002420589491108682e+00
3.150000000000000022e-01,1.006891783944844132e+00
3.200000000000000067e-01,9.846815056303130920e-01
3.250000000000000111e-01,1.071822925071562960e+00
3.300000000000000155e-01,1.093244055561678918e+00
3.350000000000000200e-01,1.160376780302573740e+00
3.400000000000000244e-01,1.069433043677343598e+00
3.450000000000000289e-01,1.037614820494124901e+00
3.500000000000000333e-01,9.856788464318126941e-01
3.549999999999999822e-01,1.003107247061872265e+00
3.599999999999999867e-01,1.024675907433948208e+00
3.649999999999999911e-01,1.017246729398268990e+00
3.699999999999999956e-01,1.025449726450141652e+00
3.750000000000000000e-01,9.792257972147698775e-01
3.800000000000000044e-01,9.688740486368188076e-01
3.850000000000000089e-01,8.043820464823485672e-01
3.900000000000000133e-01,6.426676659650278900e-01
3.950000000000000178e-01,5.932574286265903662e-01
4.000000000000000222e-01,6.049687907193024294e-01
4.050000000000000266e-01,6.877387130667296233e-01
4.100000000000000311e-01,7.424203371257983575e-01
4.150000000000000355e-01,8.147315394026071189e-01
4.199999999999999845e-01,7.221847624794774934e-01
4.249999999999999889e-01,7.956000756124763651e-01
4.299999999999999933e-01,6.663312536213352733e-01
4.349999999999999978e-01,7.309480709805240561e-01
4.400000000000000022e-01,7.252957235458226126e-01
4.450000000000000067e-01,7.915451830365304309e-01
4.500000000000000111e-01,8.987641658725998850e-01
4.550000000000000155e-01,7.935464930220392787e-01
4.600000000000000200e-01,9.145697090673633456e-01
4.650000000000000244e-01,8.242103608066344567e-01
4.700000000000000289e-01,7.067354787184269016e-01
4.750000000000000333e-01,7.357115164299794507e-01
4.799999999999999822e-01,7.846536463961746311e-01
4.849999999999999867e-01,7.824894649027223092e-01
4.899999999999999911e-01,8.851532701203638220e-01
4.949999999999999956e-01,9.235627894205672428e-01
5.000000000000000000e-01,8.863015461529717420e-01
5.050000000000000044e-01,8.649097545456427838e-01
5.100000000000000089e-01,1.013505225137470545e+00
5.150000000000000133e-01,1.028886383824853201e+00
5.200000000000000178e-01,1.151025143484529556e+00
5.250000000000000222e-01,1.283651186570009539e+00
5.300000000000000266e-01,1.156817894700154614e+00
5.350000000000000311e-01,1.185783488769569960e+00
5.400000000000000355e-01,1.127696258811368146e+00
5.450000000000000400e-01,1.207578408959703697e+00
5.500000000000000444e-01,1.212936228212226908e+00
5.550000000000000488e-01,1.178911832163597406e+00
5.600000000000000533e-01,1.130711691746786540e+00
5.650000000000000577e-01,1.224140963247365654e+00
5.700000000000000622e-01,1.182055293598246237e+00
5.750000000000000666e-01,1.221270844530615296e+00
5.799999999999999600e-01,1.146555999101531498e+00
5.849999999999999645e-01,1.211231860332492749e+00
5.899999999999999689e-01,1.243343370816057281e+00
5.949999999999999734e-01,1.210973242140111150e+00
5.999999999999999778e-01,1.282650540506517167e+00
6.049999999999999822e-01,1.356255772541132387e+00
6.099999999999999867e-01,1.358196714181150178e+00
6.149999999999999911e-01,1.378979000716380021e+00
6.199999999999999956e-01,1.296232127436639292e+00
6.250000000000000000e-01,1.290363185340818397e+00
6.300000000000000044e-01,1.214331248774834338e+00
6.350000000000000089e-01,1.162416904008965801e+00
6.400000000000000133e-01,1.091788911458402955e+00
6.450000000000000178e-01,1.130711912398926211e+00
6.500000000000000222e-01,1.028907371229394574e+00
6.550000000000000266e-01,9.304544004965553672e-01
6.600000000000000311e-01,8.574514789805973702e-01
6.650000000000000355e-01,9.007201187215930771e-01
6.700000000000000400e-01,9.110370071201316922e-01
6.750000000000000444e-01,8.620428057920578313e-01
6.800000000000000488e-01,8.125690623808339286e-01
6.850000000000000533e-01,8.690511118563770676e-01
6.900000000000000577e-01,9.005347154387777220e-01
6.950000000000000622e-01,8.701988267153420997e-01
7.000000000000000666e-01,8.450380609958968448e-01
7.049999999999999600e-01,8.360195952686624299e-01
7.099999999999999645e-01,9.396277254275733348e-01
7.149999999999999689e-01,8.743733293680013841e-01
7.199999999999999734e-01,9.881445923803345854e-01
7.249999999999999778e-01,8.952444770829843801e-01
7.299999999999999822e-01,8.947931985877923822e-01
7.349999999999999867e-01,8.382967689328293392e-01
7.399999999999999911e-01,7.754574625838328572e-01
7.449999999999999956e-01,8.303501669490394033e-01
7.500000000000000000e-01,7.051220679056187102e-01
7.550000000000000044e-01,7.502317711108059672e-01
7.600000000000000089e-01,7.381229699624937135e-01
7.650000000000000133e-01,6.358740835975085215e-01
7.700000000000000178e-01,6.947013192702151674e-01
7.750000000000000222e-01,6.886438742315992290e-01
7.800000000000000266e-01,6.771972529217407111e-01
7.850000000000000311e-01,7.646708243589419585e-01
7.900000000000000355e-01,8.371249214871919753e-01
7.950000000000000400e-01,9.646631541096892803e-01
8.000000000000000444e-01,1.017970576150351913e+00
8.050000000000000488e-01,1.051615982521810988e+00
8.100000000000000533e-01,9.265542359355939395e-01
8.150000000000000577e-01,9.740925530309878511e-01
8.200000000000000622e-01,1.001678510391833754e+00
8.250000000000000666e-01,1.086864701983115467e+00
8.300000000000000711e-01,1.160054803736592310e+00
8.349999999999999645e-01,1.118566937756175106e+00
8.399999999999999689e-01,1.146954920160689895e+00
8.449999999999999734e-01,1.122343372801120731e+00
8.499999999999999778e-01,9.570191982405222841e-01
8.549999999999999822e-01,8.495328125868453206e-01
8.599999999999999867e-01,8.919585754619606677e-01
8.649999999999999911e-01,9.311436235244365811e-01
8.699999999999999956e-01,9.985218261363347780e-01
8.750000000000000000e-01,1.102443789604645286e+00
8.800000000000000044e-01,1.073390692195209439e+00
